target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1661.17	2510	32.8964
NM_001243977.1	1578	1403.17	13251	205.603
NM_001243978.1	1654	1479.17	31208	459.343
NM_001243979.1	1626	1451.17	17646.4	264.745
NM_001243980.1	1344	1169.17	2487	46.3114
NM_001243981.1	3248	3073.17	761	5.39122
NM_001243982.1	3260	3085.17	1408	9.93602
NM_001243983.1	1226	1051.17	2025	41.9413
NM_001243986.1	2418	2243.17	3178	30.8447
NM_001243987.1	3905	3730.17	40.2694	0.235036
NM_001243988.1	4296	4121.17	3255.97	17.2008
NM_001243989.1	4280	4105.17	531.185	2.81711
NM_001243990.1	3110	2935.17	3095	22.9571
NM_001243991.2	1523	1348.17	2055	33.1861
NM_001243992.1	3220	3045.17	6897	49.3103
NM_001243994.2	1291	1116.17	1730.64	33.7571
NM_001243995.2	1075	900.165	14535.1	351.548
NM_001243997.1	1086	911.165	10663.6	254.798
NM_001244001.1	1923	1748.17	2721	33.8871
NM_001244002.2	6731	6556.17	13082	43.4423
NM_001244003.1	3816	3641.17	947	5.66236
NM_001244004.1	4987	4812.17	13154	59.5121
NM_001244005.2	1146	971.165	146.128	3.27589
NM_001244006.1	1176	1001.17	1646.64	35.8081
NM_001244007.1	1209	1034.17	1466.18	30.8664
NM_001244009.2	1770	1595.17	1823	24.8811
NM_001244010.1	1959	1784.17	1408	17.1813
NM_001244012.2	3050	2875.17	4467	33.8253
NM_001244013.1	2416	2241.17	5576	54.1673
NM_001244016.1	1327	1152.17	7141	134.937
NM_001244017.1	2834	2659.17	572	4.68316
NM_001244018.2	1443	1268.17	1782	30.5928
NM_001244019.1	1455	1280.17	1169	19.8809
NM_001244020.1	821	646.615	3485	117.34
NM_001244021.1	1755	1580.17	3.8039	0.05241
NM_001244022.1	1746	1571.17	0	0
NM_001244023.1	1671	1496.17	0	0
NM_001244024.1	2251	2076.17	0	0
NM_001244025.1	1691	1516.17	0	0
NM_001244026.1	1966	1791.17	1992	24.2126
NM_001244027.1	1041	866.165	1511	37.9797
NM_001244028.1	324	171.817	5151.34	652.742
NM_001244032.1	2830	2655.17	1808	14.825
NM_001244033.1	1023	848.165	64740.4	1661.82
NM_001244034.1	3626	3451.17	14113	89.0311
NM_001244035.1	1244	1069.17	535	10.8942
NM_001244036.1	4119	3944.17	8510	46.9745
NM_001244037.1	1300	1125.17	560.655	10.8484
NM_001244039.1	2933	2758.17	90547	714.73
NM_001244040.1	454	291.876	55411	4133.19
NM_001244041.1	2460	2285.17	4296.03	40.9296
NM_001244042.1	930	755.217	10774	310.594
NM_001244043.1	905	730.299	12819.2	382.161
NM_001244044.1	947	772.2	5610	158.169
NM_001244045.1	1853	1678.17	8710.68	113.007
NM_001244046.1	834	659.557	2641	87.1774
NM_001244047.1	1139	964.165	2340.72	52.855
NM_001244048.1	888	713.315	3048	93.0297
NM_001244049.1	1113	938.165	1608.28	37.3224
NM_001244050.1	999	824.165	63706	1682.88
NM_001244051.1	1080	905.165	7116.78	171.176
NM_001244052.1	1080	905.165	2064.22	49.6498
NM_001244053.1	1660	1485.17	168152	2464.99
NM_001244054.1	1068	893.165	28148	686.126
NM_001244055.1	1065	890.165	1299	31.7707
NM_001244056.1	1065	890.165	2612	63.8838
NM_001244057.1	1134	959.165	355	8.05792
NM_001244058.1	1065	890.165	10019	245.043
NM_001244073.1	1288	1113.17	6008	117.506
NM_001244074.1	1608	1433.17	16	0.243059
NM_001244075.1	1477	1302.17	17655	295.182
NM_001244076.1	1295	1120.17	198	3.84832
NM_001244078.1	2519	2344.17	3106	28.847
NM_001244079.1	2699	2524.17	12408	107.022
NM_001244085.1	2091	1916.17	3516	39.9488
NM_001244087.1	1718	1543.17	90.5773	1.27789
NM_001244088.1	1462	1287.17	6.15056	0.104032
NM_001244089.1	1732	1557.17	1106	15.4635
NM_001244097.2	2300	2125.17	0	0
NM_001244098.1	1534	1359.17	9450.22	151.376
NM_001244100.1	1833	1658.17	306	4.01774
NM_001244101.2	2412	2237.17	56152.2	546.458
NM_001244115.1	1354	1179.17	14912	275.327
NM_001244117.1	703	530.236	2456	100.843
NM_001244118.1	1982	1807.17	770.539	9.28292
NM_001244122.1	1254	1079.17	213920	4315.7
NM_001244136.1	1399	1224.17	10555	187.718
NM_001244139.1	1199	1024.17	495.564	10.5346
NM_001244144.1	915	740.25	20206.9	594.304
NM_001244250.1	2026	1851.17	666	7.8328
NM_001244267.1	1254	1079.17	10226	206.303
NM_001244269.1	5818	5643.17	3671	14.1628
NM_001244273.1	3816	3641.17	5497	32.868
NM_001244275.2	2547	2372.17	4873.95	44.7326
NM_001244278.1	1848	1673.17	156	2.0299
NM_001244281.1	1709	1534.17	28728	407.682
NM_001244287.1	710	537.081	37513.1	1520.65
NM_001244292.1	2794	2619.17	7886	65.5514
NM_001244293.1	4183	4008.17	9041	49.1088
NM_001244298.1	1743	1568.17	6611	91.7832
NM_001244378.1	3117	2942.17	182059	1347.2
NM_001244381.1	1146	971.165	71880.5	1611.41
NM_001244394.1	2205	2030.17	648	6.94915
NM_001244399.1	1821	1646.17	3787.96	50.098
