target_id	length	eff_length	est_counts	tpm
NM_001243976.1	1836	1586.19	3306	49.2571
NM_001243977.1	1578	1328.19	15193.4	270.344
NM_001243978.1	1654	1404.19	20373.1	342.888
NM_001243979.1	1626	1376.19	11467.3	196.927
NM_001243980.1	1344	1094.19	2347	50.6922
NM_001243981.1	3248	2998.19	905	7.13364
NM_001243982.1	3260	3010.19	1408	11.0543
NM_001243983.1	1226	976.194	2017	48.8306
NM_001243986.1	2418	2168.19	3496	38.1062
NM_001243987.1	3905	3655.19	36.2167	0.234164
NM_001243988.1	4296	4046.19	2033.8	11.8791
NM_001243989.1	4280	4030.19	559.288	3.27968
NM_001243990.1	3110	2860.19	1959	16.1868
NM_001243991.2	1523	1273.19	1526	28.3258
NM_001243992.1	3220	2970.19	4982	39.6407
NM_001243994.2	1291	1041.19	1417.28	32.1696
NM_001243995.2	1075	825.194	11468.8	328.46
NM_001243997.1	1086	836.194	10728.9	303.228
NM_001244001.1	1923	1673.19	2717	38.3765
NM_001244002.2	6731	6481.19	11192	40.8108
NM_001244003.1	3816	3566.19	843	5.58656
NM_001244004.1	4987	4737.19	6739	33.6199
NM_001244005.2	1146	896.194	203.038	5.35425
NM_001244006.1	1176	926.194	1540.19	39.3002
NM_001244007.1	1209	959.194	953.374	23.4898
NM_001244009.2	1770	1520.19	774	12.0327
NM_001244010.1	1959	1709.19	980	13.5505
NM_001244012.2	3050	2800.19	3508	29.6069
NM_001244013.1	2416	2166.19	3792	41.3707
NM_001244016.1	1327	1077.19	25511	559.701
NM_001244017.1	2834	2584.19	399	3.64897
NM_001244018.2	1443	1193.19	1544	30.5815
NM_001244019.1	1455	1205.19	2156	42.278
NM_001244020.1	821	572.202	3336	137.784
NM_001244021.1	1755	1505.19	11.7422	0.184366
NM_001244022.1	1746	1496.19	0	0
NM_001244023.1	1671	1421.19	0	0
NM_001244024.1	2251	2001.19	0	0
NM_001244025.1	1691	1441.19	12	0.19678
NM_001244026.1	1966	1716.19	1233	16.9793
NM_001244027.1	1041	791.194	1850	55.26
NM_001244028.1	324	145.405	4433.98	720.669
NM_001244032.1	2830	2580.19	1453	13.3087
NM_001244033.1	1023	773.194	29732.9	908.806
NM_001244034.1	3626	3376.19	15080	105.559
NM_001244035.1	1244	994.194	460	10.9348
NM_001244036.1	4119	3869.19	6341	38.7311
NM_001244037.1	1300	1050.19	1001.67	22.5411
NM_001244039.1	2933	2683.19	53456	470.833
NM_001244040.1	454	242.799	31508	3066.88
NM_001244041.1	2460	2210.19	4933.16	52.7493
NM_001244042.1	930	680.367	9886	343.399
NM_001244043.1	905	655.458	6625.66	238.895
NM_001244044.1	947	697.349	2158	73.1347
NM_001244045.1	1853	1603.19	7543.8	111.205
NM_001244046.1	834	584.953	2733	110.418
NM_001244047.1	1139	889.194	2277.59	60.5344
NM_001244048.1	888	638.562	2635	97.5213
NM_001244049.1	1113	863.194	1930.41	52.8521
NM_001244050.1	999	749.194	44962	1418.32
NM_001244051.1	1080	830.194	6104	173.763
NM_001244052.1	1080	830.194	1540	43.8393
NM_001244053.1	1660	1410.19	191191	3204.13
NM_001244054.1	1068	818.194	22952	662.959
NM_001244055.1	1065	815.194	1094	31.716
NM_001244056.1	1065	815.194	1944	56.3582
NM_001244057.1	1134	884.194	321	8.57985
NM_001244058.1	1065	815.194	7803	226.216
NM_001244073.1	1288	1038.19	4021	91.533
NM_001244074.1	1608	1358.19	40	0.696018
NM_001244075.1	1477	1227.19	8839	170.221
NM_001244076.1	1295	1045.19	204	4.6127
NM_001244078.1	2519	2269.19	3443	35.8581
NM_001244079.1	2699	2449.19	7896	76.1914
NM_001244085.1	2091	1841.19	2733	35.0802
NM_001244087.1	1718	1468.19	86.7122	1.39579
NM_001244088.1	1462	1212.19	12.1616	0.237106
NM_001244089.1	1732	1482.19	726	11.5759
NM_001244097.2	2300	2050.19	0	0
NM_001244098.1	1534	1284.19	12598	231.843
NM_001244100.1	1833	1583.19	398	5.94116
NM_001244101.2	2412	2162.19	35214.1	384.897
NM_001244115.1	1354	1104.19	13095	280.274
NM_001244117.1	703	458.842	2670	137.522
NM_001244118.1	1982	1732.19	1170.95	15.9758
NM_001244122.1	1254	1004.19	207140	4874.93
NM_001244136.1	1399	1149.19	11163	229.567
NM_001244139.1	1199	949.194	201.842	5.02549
NM_001244144.1	915	665.422	15104.9	536.465
NM_001244250.1	2026	1776.19	628	8.35587
NM_001244267.1	1254	1004.19	8445	198.749
NM_001244269.1	5818	5568.19	2970	12.6056
NM_001244273.1	3816	3566.19	3959	26.2363
NM_001244275.2	2547	2297.19	4527	46.5731
NM_001244278.1	1848	1598.19	382	5.6488
NM_001244281.1	1709	1459.19	14772	239.248
NM_001244287.1	710	465.275	20819	1057.48
NM_001244292.1	2794	2544.19	6202	57.6108
NM_001244293.1	4183	3933.19	6356	38.191
NM_001244298.1	1743	1493.19	5509	87.1924
NM_001244378.1	3117	2867.19	153444	1264.78
NM_001244381.1	1146	896.194	63389.9	1671.63
NM_001244394.1	2205	1955.19	849	10.2622
NM_001244399.1	1821	1571.19	2926	44.0116
NM_001244401.2	1515	1265.19	0	0
NM_001244402.1	1725	1475.19	128467	2058.09
NM_001244405.2	3370	3120.19	5800.59	43.9352
NM_001244407.1	1047	797.194	0	0
NM_001244409.2	1292	1042.19	3	0.0680291
NM_001244411.1	1033	783.194	3296	99.4581
NM_001244413.1	873	623.63	60	2.27377
NM_001244494.2	1251	1001.19	736	17.3733
NM_001244504.1	786	537.803	0	0
NM_001244507.1	845	595.794	5202	206.346
NM_001244515.2	477	261.407	2	0.180815
NM_001244516.2	477	261.407	0	0
NM_001244518.2	474	258.894	0	0
NM_001244519.1	535	309.98	8287	631.81
NM_001244533.1	456	244.306	1929.86	186.687
NM_001244535.1	834	584.953	2132	86.1367
NM_001244575.1	1128	878.194	189588	5102.03
NM_001244576.1	186	59.8131	558	220.475
NM_001244577.1	186	59.8131	14	5.53164
NM_001244848.2	1786	1536.19	9697	149.181
